Angriff;20;19;18;17;16;15;14;13;12;11;10;9;8;7;6;5;4;3;2;1
124-126;10BK;12BK;15CK;19CK;13BK;13CK;16CK;21CK;11BK;13BK;18CK;24DK;22CK;24CK;26DK;29DK;23DK;25DK;30EK;32DK
127-129;10BK;13CK;15CK;20DK;14CK;14CK;17CK;22DK;11BK;14CK;18DK;25DK;23DK;25DK;27DK;30EK;24DK;26DK;31EK;33EK
130-132;11BK;14CK;16CK;21DK;14CK;14CK;18CK;23DK;12CK;15CK;19DK;25EK;24DK;26DK;28EK;31EK;25DK;27EK;32EK;34EK
133-135;11CK;14CK;16CK;22EK;15CK;15CK;18DK;24EK;13CK;15CK;20DK;26EK;25DK;27DK;29EK;32EK;26EK;28EK;33EK;35EK
Maximum Results for Large Attacks;;;;;;;;;;;;;;;;;;;;
136-138;12CK;15CK;17DK;22EK;15CK;15DK;19DK;24EK;13CK;16CK;21EK;27EK;26EK;28EK;30EK;33EK;27EK;29EK;34EK;36EK
139-141;13DK;16DK;18DK;23EK;16DK;16DK;20DK;25EK;14DK;17DK;21EK;28EK;27EK;29EK;31EK;34EK;28EK;30EK;35EK;37EK
142-144;13DK;16DK;18DK;24EK;16DK;16DK;20EK;26EK;14DK;17DK;22EK;29EK;28EK;30EK;32EK;35EK;29EK;31EK;36EK;38EK
145-147;14EK;17EK;19EK;25EK;17EK;17EK;21EK;27EK;15EK;18EK;23EK;30FK;29EK;31EK;33EK;36EK;30EK;32EK;37EK;39EK
148-150;14FK;18FK;20FK;26FK;18FK;18FK;22FK;28FK;16FK;19FK;24FK;31FK;30FK;32FK;34FK;37FK;31FK;33FK;38FK;40FK
Maximum Results for Huge Attacks;;;;;;;;;;;;;;;;;;;;
